# 二十四節気スケジュール(概算・年により±1日ずれる。発火時に実日付を丁寧に確認する)
# 列: slug	節気	よみ	概算日	カバー一言	季節メモ/切り口の芯
risshu	立秋	りっしゅう	2026-08-07	暦の上の、秋のはじまり	暦の上の秋の始まり。実際は残暑の盛り。暦と体感のズレ、最初の小さな秋の兆し
shosho_a	処暑	しょしょ	2026-08-23	暑さが、やむころ	暑さが処(や)む頃。朝夕の涼、夏の疲れをほどく区切り
hakuro	白露	はくろ	2026-09-08	草に、白い露がむすぶ	草に白い露が結ぶ。朝の湿り、季節が下降へ向かう気配
shubun	秋分	しゅうぶん	2026-09-23	昼と夜が、等しくなる	昼夜が等しい。均衡、折り返し、彼岸のリズム
kanro	寒露	かんろ	2026-10-08	露が、冷たくなる	露が冷たくなる。澄む空気、深まりの入口
soko	霜降	そうこう	2026-10-23	霜が、降りはじめる	霜が降り始める。仕舞いと備え、暮れゆく秋
ritto	立冬	りっとう	2026-11-07	暦の上の、冬のはじまり	暦の上の冬の始まり。まだ紅葉の頃、内へ向かう季節への切り替え
shosetsu	小雪	しょうせつ	2026-11-22	わずかに、雪が舞う	わずかに雪が舞う頃。灯りと温もり、静けさへ
taisetsu	大雪	たいせつ	2026-12-07	雪が、本格へ	雪が本格化。籠もりと蓄え、一年の締めに向かう
toji	冬至	とうじ	2026-12-22	昼が、いちばん短い日	昼が最も短い。極まって転じる、光が戻り始める起点
shokan	小寒	しょうかん	2027-01-05	寒の、入り	寒の入り。厳しさの始まり、静かに整える
daikan	大寒	だいかん	2027-01-20	寒さの、底	寒さの底。耐える時間の底で春を待つ
risshun	立春	りっしゅん	2027-02-04	暦の上の、春のはじまり	暦の上の春の始まり。まだ寒いが、兆しを見つける
usui	雨水	うすい	2027-02-19	雪が、雨に変わる	雪が雨に変わる。ゆるみ、萌しの前触れ
keichitsu	啓蟄	けいちつ	2027-03-06	虫が、土から出る	虫が土から出る。動き出し、再起動の合図
shunbun	春分	しゅんぶん	2027-03-21	昼と夜が、等しくなる	昼夜が等しい。均衡と始まり、新年度の折り返し
seimei	清明	せいめい	2027-04-05	すべてが、清らかに明るい	清らかで明るい。芽吹きの盛り、清々しさ
kokuu	穀雨	こくう	2027-04-20	穀物をうるおす、春の雨	穀物を潤す春の雨。育てる時間、準備が実りへ
rikka	立夏	りっか	2027-05-06	暦の上の、夏のはじまり	暦の上の夏の始まり。新緑と風、外へ開く季節
shoman	小満	しょうまん	2027-05-21	草木が、満ちはじめる	草木が満ち始める。満ちゆく途中、伸びしろ
boshu	芒種	ぼうしゅ	2027-06-06	種を、まくころ	種蒔きの頃。まく時間、梅雨の入口
geshi	夏至	げし	2027-06-21	昼が、いちばん長い日	昼が最も長い。極まりと折り返し、光の頂点
shosho_b	小暑	しょうしょ	2027-07-07	暑さが、本格へ	暑さが本格化へ。勢いと熱、盛りへ向かう
taisho	大暑	たいしょ	2027-07-23	暑さの、極み	暑さの極み。極まる時間、涼を求める工夫
